DATE (MM/DD/YYYY),EST,Global Horizontal [W/m^2]
11/20/2019,09:52,320.932
11/20/2019,09:53,319.603
11/20/2019,09:54,317.222
11/20/2019,09:55,343.034
11/20/2019,09:56,355.960
11/20/2019,09:57,360.255
11/20/2019,09:58,359.745
11/20/2019,09:59,353.440
11/20/2019,10:00,359.894
11/20/2019,10:01,361.002
11/20/2019,10:02,369.177
11/20/2019,10:03,373.877
11/20/2019,10:04,367.112
11/20/2019,10:05,355.608
11/20/2019,10:06,359.433
11/20/2019,10:07,364.309
11/20/2019,10:08,371.452
11/20/2019,10:09,365.154
11/20/2019,10:10,364.755
11/20/2019,10:11,360
11/20/2019,10:12,334.783
11/20/2019,10:13,350.070
11/20/2019,10:14,372.344
11/20/2019,10:15,370.546
11/20/2019,10:16,248.599
11/20/2019,10:17,81.3810
11/20/2019,10:18,260.994
11/20/2019,10:19,397.496
11/20/2019,10:20,300.238
11/20/2019,10:21,83.3738
11/20/2019,10:22,73.5758
11/20/2019,10:23,212.543
11/20/2019,10:24,384.502
11/20/2019,10:25,336.621
11/20/2019,10:26,312.093
11/20/2019,10:27,386.923
11/20/2019,10:28,401.599
11/20/2019,10:29,399.111
11/20/2019,10:30,414.807
